id,customer,date,amount,last_updated
8435,BestBuy,2025-04-02,1292,2025-04-02T06:41:00
3971,Target,2025-04-02,298,2025-04-02T20:41:00
5303,eBay,2025-04-02,227,2025-04-02T13:04:00
3967,Target,2025-04-02,1115,2025-04-02T16:47:00
4883,Costco,2025-04-03,1726,2025-04-03T06:18:00
2049,Target,2025-04-03,1245,2025-04-03T03:44:00
2203,eBay,2025-04-03,1311,2025-04-03T20:09:00
3663,Costco,2025-04-04,1696,2025-04-04T19:19:00
7314,Costco,2025-04-04,138,2025-04-04T07:35:00
9098,Amazon,2025-04-04,1176,2025-04-04T01:36:00
2923,Target,2025-04-04,1518,2025-04-04T17:35:00
4138,eBay,2025-04-04,687,2025-04-04T10:44:00
4332,Amazon,2025-04-04,1602,2025-04-04T07:48:00
8490,eBay,2025-04-05,245,2025-04-05T06:55:00
9441,eBay,2025-04-05,1676,2025-04-05T06:43:00
2226,Costco,2025-04-05,1934,2025-04-05T04:29:00
1579,Amazon,2025-04-05,1293,2025-04-05T22:51:00
1711,Target,2025-04-05,1781,2025-04-05T10:00:00
7293,Amazon,2025-04-06,1671,2025-04-06T23:56:00
8801,Walmart,2025-04-06,1217,2025-04-06T11:09:00
7911,Walmart,2025-04-06,721,2025-04-06T17:56:00
9885,Amazon,2025-04-06,1314,2025-04-06T02:25:00
3141,BestBuy,2025-04-06,205,2025-04-06T23:49:00
2332,Costco,2025-04-06,1159,2025-04-06T18:43:00
6525,Amazon,2025-04-07,237,2025-04-07T04:02:00
9222,BestBuy,2025-04-07,838,2025-04-07T12:43:00
8314,Costco,2025-04-07,728,2025-04-07T22:11:00
6788,eBay,2025-04-07,816,2025-04-07T08:42:00
3969,Amazon,2025-04-07,1081,2025-04-07T14:39:00
1463,Amazon,2025-04-07,1736,2025-04-07T02:11:00
8753,BestBuy,2025-04-08,1659,2025-04-08T02:44:00
8472,eBay,2025-04-08,849,2025-04-08T09:49:00
3133,Target,2025-04-08,952,2025-04-08T16:48:00
7786,Walmart,2025-04-08,1376,2025-04-08T18:51:00
7011,Amazon,2025-04-09,244,2025-04-09T16:56:00
6050,Walmart,2025-04-09,257,2025-04-09T19:31:00
5811,eBay,2025-04-09,659,2025-04-09T14:17:00
4403,Amazon,2025-04-10,1474,2025-04-10T02:25:00
7705,Amazon,2025-04-10,1993,2025-04-10T09:47:00
5057,Amazon,2025-04-10,506,2025-04-10T13:44:00
9621,eBay,2025-04-10,661,2025-04-10T21:03:00
2413,Amazon,2025-04-10,1722,2025-04-10T02:30:00
5748,Walmart,2025-04-10,1316,2025-04-10T03:12:00
4802,Target,2025-04-11,1007,2025-04-11T15:41:00
5518,Amazon,2025-04-11,533,2025-04-11T03:25:00
5717,BestBuy,2025-04-11,431,2025-04-11T21:34:00
9223,Walmart,2025-04-11,665,2025-04-11T06:49:00
3443,BestBuy,2025-04-11,1552,2025-04-11T23:21:00
2819,Target,2025-04-11,170,2025-04-11T05:27:00
7794,Costco,2025-04-12,1390,2025-04-12T01:31:00
7618,Target,2025-04-12,864,2025-04-12T14:04:00
8831,Costco,2025-04-12,1240,2025-04-12T14:03:00
3559,BestBuy,2025-04-13,1703,2025-04-13T22:01:00
6446,eBay,2025-04-13,840,2025-04-13T14:44:00
9138,eBay,2025-04-13,1194,2025-04-13T17:58:00
7267,Costco,2025-04-14,1376,2025-04-14T20:05:00
9643,Walmart,2025-04-14,671,2025-04-14T04:07:00
8536,Walmart,2025-04-14,1438,2025-04-14T21:02:00
2398,Costco,2025-04-14,1702,2025-04-14T09:34:00
7343,Costco,2025-04-15,379,2025-04-15T11:47:00
7698,Walmart,2025-04-15,358,2025-04-15T15:02:00
9565,Walmart,2025-04-15,1308,2025-04-15T10:47:00
4676,Target,2025-04-15,468,2025-04-15T21:03:00
2820,Walmart,2025-04-15,1639,2025-04-15T18:21:00
6347,Walmart,2025-04-16,1592,2025-04-16T11:24:00
4094,Costco,2025-04-16,1289,2025-04-16T04:27:00
8089,BestBuy,2025-04-16,1875,2025-04-16T01:30:00
8411,Target,2025-04-17,1420,2025-04-17T09:38:00
4685,Amazon,2025-04-17,755,2025-04-17T08:04:00
9263,eBay,2025-04-17,225,2025-04-17T22:22:00
2932,Target,2025-04-17,1273,2025-04-17T02:56:00
7543,Target,2025-04-17,1453,2025-04-17T23:09:00
7765,Costco,2025-04-17,272,2025-04-17T07:31:00
8379,eBay,2025-04-18,1907,2025-04-18T21:14:00
9709,Amazon,2025-04-18,1264,2025-04-18T02:24:00
9064,eBay,2025-04-18,1724,2025-04-18T00:53:00
3781,BestBuy,2025-04-19,1717,2025-04-19T21:05:00
5730,Amazon,2025-04-19,995,2025-04-19T22:17:00
7558,Amazon,2025-04-19,983,2025-04-19T09:17:00
1595,Target,2025-04-19,700,2025-04-19T12:54:00
8502,eBay,2025-04-19,127,2025-04-19T15:11:00
4273,BestBuy,2025-04-19,790,2025-04-19T20:20:00
7508,Amazon,2025-04-20,223,2025-04-20T09:01:00
3382,Walmart,2025-04-20,164,2025-04-20T17:02:00
8099,Costco,2025-04-20,1103,2025-04-20T07:14:00
9025,Amazon,2025-04-21,1747,2025-04-21T20:04:00
5175,Amazon,2025-04-21,343,2025-04-21T20:50:00
8179,Costco,2025-04-21,1669,2025-04-21T13:03:00
7935,Amazon,2025-04-22,279,2025-04-22T13:09:00
7426,Target,2025-04-22,1320,2025-04-22T12:09:00
7426,eBay,2025-04-22,731,2025-04-22T12:25:00
1736,Costco,2025-04-22,539,2025-04-22T02:17:00
8402,Target,2025-04-22,1278,2025-04-22T19:18:00
1752,Target,2025-04-22,439,2025-04-22T06:14:00
9073,eBay,2025-04-23,255,2025-04-23T10:04:00
9789,Walmart,2025-04-23,1911,2025-04-23T05:11:00
8382,BestBuy,2025-04-23,202,2025-04-23T23:46:00
3293,eBay,2025-04-24,1252,2025-04-24T15:41:00
1799,BestBuy,2025-04-24,764,2025-04-24T07:06:00
1709,Walmart,2025-04-24,147,2025-04-24T19:06:00
5009,eBay,2025-04-24,525,2025-04-24T22:34:00
5761,BestBuy,2025-04-24,523,2025-04-24T02:29:00
6695,BestBuy,2025-04-24,1695,2025-04-24T08:59:00
1018,Amazon,2025-04-25,1035,2025-04-25T02:58:00
7980,BestBuy,2025-04-25,357,2025-04-25T01:32:00
4849,BestBuy,2025-04-25,1456,2025-04-25T01:30:00
6654,eBay,2025-04-26,636,2025-04-26T12:46:00
5730,Amazon,2025-04-26,1886,2025-04-26T08:06:00
4056,Target,2025-04-26,1094,2025-04-26T01:35:00
3657,eBay,2025-04-27,342,2025-04-27T22:16:00
7357,Target,2025-04-27,1366,2025-04-27T16:17:00
1321,Amazon,2025-04-27,1142,2025-04-27T22:50:00
3244,Amazon,2025-04-28,1006,2025-04-28T10:47:00
3123,Amazon,2025-04-28,1468,2025-04-28T04:58:00
2801,Target,2025-04-28,1791,2025-04-28T18:54:00
6606,BestBuy,2025-04-28,970,2025-04-28T09:24:00
4096,Amazon,2025-04-29,786,2025-04-29T13:04:00
1853,Amazon,2025-04-29,281,2025-04-29T09:56:00
5960,BestBuy,2025-04-29,1645,2025-04-29T10:19:00
2915,Target,2025-04-29,1259,2025-04-29T19:45:00
5712,Amazon,2025-04-29,1120,2025-04-29T02:16:00
3473,Target,2025-04-29,1047,2025-04-29T22:19:00
4639,Costco,2025-04-30,1259,2025-04-30T05:09:00
6324,Amazon,2025-04-30,713,2025-04-30T22:13:00
7068,Amazon,2025-04-30,1840,2025-04-30T14:37:00
2678,BestBuy,2025-04-30,1215,2025-04-30T18:13:00
7216,BestBuy,2025-05-01,1279,2025-05-01T04:07:00
2523,Target,2025-05-01,965,2025-05-01T02:06:00
2140,Target,2025-05-01,1565,2025-05-01T11:07:00
5125,BestBuy,2025-05-01,1216,2025-05-01T11:26:00
2204,eBay,2025-05-02,464,2025-05-02T17:05:00
9684,eBay,2025-05-02,1899,2025-05-02T11:23:00
2260,BestBuy,2025-05-02,1633,2025-05-02T10:18:00
6962,Costco,2025-05-02,1836,2025-05-02T20:21:00
2779,eBay,2025-05-03,1469,2025-05-03T02:12:00
2883,eBay,2025-05-03,799,2025-05-03T07:44:00
7232,Amazon,2025-05-03,1785,2025-05-03T11:07:00
2996,Costco,2025-05-03,1773,2025-05-03T21:26:00
2336,Costco,2025-05-03,1336,2025-05-03T11:08:00
4177,BestBuy,2025-05-04,1898,2025-05-04T10:50:00
7900,eBay,2025-05-04,1357,2025-05-04T06:25:00
5003,BestBuy,2025-05-04,202,2025-05-04T10:36:00
3102,Amazon,2025-05-04,1249,2025-05-04T22:48:00
7257,Costco,2025-05-05,544,2025-05-05T20:49:00
2047,eBay,2025-05-05,469,2025-05-05T22:10:00
4589,Walmart,2025-05-05,1178,2025-05-05T13:21:00
1092,Target,2025-05-05,529,2025-05-05T22:35:00
9518,Amazon,2025-05-05,1945,2025-05-05T08:36:00
3785,Target,2025-05-06,121,2025-05-06T23:52:00
9787,eBay,2025-05-06,122,2025-05-06T06:08:00
7860,Costco,2025-05-06,1089,2025-05-06T00:07:00
4870,BestBuy,2025-05-06,561,2025-05-06T20:23:00
1893,Target,2025-05-07,1546,2025-05-07T11:17:00
2481,eBay,2025-05-07,1492,2025-05-07T03:28:00
9725,Costco,2025-05-07,1558,2025-05-07T16:10:00
4686,Amazon,2025-05-07,1041,2025-05-07T11:06:00
4531,Target,2025-05-08,625,2025-05-08T04:50:00
7115,Walmart,2025-05-08,1219,2025-05-08T00:53:00
6001,eBay,2025-05-08,596,2025-05-08T21:29:00
8585,Target,2025-05-08,1916,2025-05-08T09:38:00
2242,Amazon,2025-05-09,926,2025-05-09T10:43:00
5528,eBay,2025-05-09,1152,2025-05-09T03:03:00
3109,BestBuy,2025-05-09,759,2025-05-09T02:03:00
2999,Costco,2025-05-09,409,2025-05-09T03:21:00
6557,BestBuy,2025-05-10,1399,2025-05-10T16:23:00
2453,Walmart,2025-05-10,1508,2025-05-10T04:56:00
3675,BestBuy,2025-05-10,1090,2025-05-10T14:15:00
1595,eBay,2025-05-11,670,2025-05-11T08:59:00
5976,Walmart,2025-05-11,641,2025-05-11T22:42:00
6982,Walmart,2025-05-11,139,2025-05-11T06:47:00
8348,Costco,2025-05-11,131,2025-05-11T13:04:00
9588,Target,2025-05-11,1142,2025-05-11T16:53:00
8714,Walmart,2025-05-11,1087,2025-05-11T21:14:00
7200,BestBuy,2025-05-12,1285,2025-05-12T19:57:00
3853,BestBuy,2025-05-12,903,2025-05-12T23:19:00
1957,Walmart,2025-05-12,1279,2025-05-12T05:35:00
9824,Walmart,2025-05-12,923,2025-05-12T01:32:00
8931,Walmart,2025-05-13,1645,2025-05-13T03:29:00
3586,Costco,2025-05-13,1092,2025-05-13T23:38:00
5773,BestBuy,2025-05-13,148,2025-05-13T21:21:00
2127,BestBuy,2025-05-13,681,2025-05-13T19:02:00
4069,BestBuy,2025-05-13,1326,2025-05-13T01:09:00
7726,eBay,2025-05-13,1709,2025-05-13T02:23:00
1093,eBay,2025-05-14,301,2025-05-14T02:22:00
8920,Walmart,2025-05-14,1199,2025-05-14T13:04:00
9957,Costco,2025-05-14,1771,2025-05-14T04:23:00
8592,Costco,2025-05-14,560,2025-05-14T15:08:00
5224,eBay,2025-05-14,1260,2025-05-14T17:13:00
6557,eBay,2025-05-14,1832,2025-05-14T04:58:00
8677,Walmart,2025-05-15,1265,2025-05-15T02:58:00
7336,eBay,2025-05-15,608,2025-05-15T05:27:00
6678,eBay,2025-05-15,1316,2025-05-15T23:19:00
6277,Walmart,2025-05-15,826,2025-05-15T02:12:00
1349,eBay,2025-05-16,1191,2025-05-16T02:57:00
4517,Amazon,2025-05-16,1089,2025-05-16T14:22:00
5857,Target,2025-05-16,1649,2025-05-16T21:05:00
4690,Amazon,2025-05-16,1327,2025-05-16T01:32:00
6184,Target,2025-05-16,1492,2025-05-16T23:57:00
9738,BestBuy,2025-05-16,1553,2025-05-16T17:22:00
8658,BestBuy,2025-05-17,267,2025-05-17T03:22:00
8465,Walmart,2025-05-17,583,2025-05-17T12:29:00
2322,Target,2025-05-17,1223,2025-05-17T19:06:00
2643,Costco,2025-05-17,1173,2025-05-17T20:17:00
7780,BestBuy,2025-05-18,961,2025-05-18T00:10:00
7240,eBay,2025-05-18,1957,2025-05-18T21:47:00
5460,BestBuy,2025-05-18,1798,2025-05-18T05:37:00
9387,BestBuy,2025-05-18,1650,2025-05-18T21:04:00
6404,Walmart,2025-05-18,349,2025-05-18T13:26:00
7536,Target,2025-05-19,1127,2025-05-19T01:23:00
1857,eBay,2025-05-19,771,2025-05-19T00:52:00
9876,Target,2025-05-19,1919,2025-05-19T04:02:00
5416,Target,2025-05-20,1996,2025-05-20T11:02:00
1581,eBay,2025-05-20,1185,2025-05-20T05:58:00
9004,Costco,2025-05-20,1651,2025-05-20T09:00:00
1881,Walmart,2025-05-21,190,2025-05-21T20:09:00
5582,Walmart,2025-05-21,673,2025-05-21T16:36:00
7388,Target,2025-05-21,362,2025-05-21T13:32:00
4242,Walmart,2025-05-21,824,2025-05-21T16:16:00
2418,Target,2025-05-21,1316,2025-05-21T09:03:00
8911,Costco,2025-05-21,611,2025-05-21T21:43:00
5341,eBay,2025-05-22,1510,2025-05-22T09:48:00
9728,Amazon,2025-05-22,1958,2025-05-22T14:54:00
8733,Amazon,2025-05-22,1560,2025-05-22T12:58:00
5541,Amazon,2025-05-22,1202,2025-05-22T05:23:00
1274,Costco,2025-05-23,1320,2025-05-23T21:53:00
3792,Costco,2025-05-23,800,2025-05-23T15:57:00
9222,Amazon,2025-05-23,127,2025-05-23T03:36:00
