id,customer,date,amount,last_updated
3363,eBay,2025-04-20,1302,2025-04-20 13:33:00
5539,eBay,2025-04-20,1077,2025-04-20 21:35:00
5859,BestBuy,2025-04-20,1416,2025-04-20 16:37:00
9661,BestBuy,2025-04-21,1826,2025-04-21 14:41:00
4453,eBay,2025-04-21,1950,2025-04-21 06:50:00
1501,BestBuy,2025-04-21,1030,2025-04-21 13:00:00
5514,Walmart,2025-04-21,316,2025-04-21 13:59:00
1169,Target,2025-04-21,707,2025-04-21 13:00:00
5864,Costco,2025-04-22,1971,2025-04-22 08:48:00
9490,Walmart,2025-04-22,140,2025-04-22 04:25:00
7740,BestBuy,2025-04-22,984,2025-04-22 16:56:00
7670,eBay,2025-04-22,549,2025-04-22 14:43:00
2167,eBay,2025-04-22,1686,2025-04-22 14:21:00
9016,Amazon,2025-04-22,1903,2025-04-22 20:27:00
7306,Amazon,2025-04-23,167,2025-04-23 05:25:00
7146,Costco,2025-04-23,1043,2025-04-23 15:51:00
1509,Costco,2025-04-23,1737,2025-04-23 14:22:00
5632,Amazon,2025-04-24,1754,2025-04-24 20:14:00
4949,Amazon,2025-04-24,469,2025-04-24 21:52:00
3339,BestBuy,2025-04-24,1566,2025-04-24 17:53:00
6478,Target,2025-04-25,326,2025-04-25 02:08:00
8734,eBay,2025-04-25,1348,2025-04-25 17:10:00
9919,Walmart,2025-04-25,277,2025-04-25 22:40:00
9365,eBay,2025-04-26,210,2025-04-26 00:04:00
4455,Walmart,2025-04-26,554,2025-04-26 12:45:00
8361,Walmart,2025-04-26,1521,2025-04-26 22:28:00
1752,Amazon,2025-04-27,602,2025-04-27 19:18:00
6607,Target,2025-04-27,1494,2025-04-27 05:28:00
5152,BestBuy,2025-04-27,735,2025-04-27 02:46:00
3082,BestBuy,2025-04-28,1573,2025-04-28 13:58:00
3001,Walmart,2025-04-28,385,2025-04-28 21:37:00
3493,Costco,2025-04-28,1729,2025-04-28 04:29:00
8514,Walmart,2025-04-28,887,2025-04-28 02:06:00
5341,eBay,2025-04-29,133,2025-04-29 01:00:00
6576,Amazon,2025-04-29,1309,2025-04-29 03:46:00
6609,Target,2025-04-29,632,2025-04-29 10:10:00
7596,BestBuy,2025-04-29,368,2025-04-29 17:59:00
8586,Walmart,2025-04-30,1460,2025-04-30 10:36:00
5639,Walmart,2025-04-30,597,2025-04-30 08:40:00
5127,Amazon,2025-04-30,512,2025-04-30 00:33:00
5873,Target,2025-04-30,237,2025-04-30 00:12:00
3392,BestBuy,2025-05-01,1384,2025-05-01 00:23:00
9845,Target,2025-05-01,857,2025-05-01 05:21:00
3879,Costco,2025-05-01,1660,2025-05-01 23:52:00
4219,Costco,2025-05-01,704,2025-05-01 18:30:00
1819,eBay,2025-05-01,1941,2025-05-01 08:02:00
1698,eBay,2025-05-02,1931,2025-05-02 17:43:00
1179,Target,2025-05-02,374,2025-05-02 10:56:00
9788,Walmart,2025-05-02,1437,2025-05-02 00:39:00
8280,BestBuy,2025-05-02,1077,2025-05-02 15:19:00
6666,Costco,2025-05-02,1084,2025-05-02 15:12:00
9259,BestBuy,2025-05-03,1509,2025-05-03 20:30:00
7393,BestBuy,2025-05-03,1660,2025-05-03 19:42:00
4206,Target,2025-05-03,1000,2025-05-03 01:53:00
7926,Costco,2025-05-03,182,2025-05-03 05:31:00
3219,Walmart,2025-05-03,1131,2025-05-03 05:26:00
3961,eBay,2025-05-04,234,2025-05-04 03:04:00
7445,Amazon,2025-05-04,1252,2025-05-04 07:43:00
8602,eBay,2025-05-04,1987,2025-05-04 11:18:00
5229,BestBuy,2025-05-04,365,2025-05-04 02:07:00
6862,BestBuy,2025-05-04,1883,2025-05-04 10:05:00
3433,Costco,2025-05-04,1479,2025-05-04 15:15:00
7457,Costco,2025-05-05,162,2025-05-05 06:33:00
1337,Amazon,2025-05-05,1326,2025-05-05 11:31:00
8866,Amazon,2025-05-05,1540,2025-05-05 21:20:00
3263,eBay,2025-05-05,379,2025-05-05 14:35:00
2133,BestBuy,2025-05-06,1741,2025-05-06 14:28:00
6155,eBay,2025-05-06,1972,2025-05-06 19:45:00
9928,Costco,2025-05-06,1388,2025-05-06 18:50:00
1083,Amazon,2025-05-07,1058,2025-05-07 14:57:00
8841,Walmart,2025-05-07,1812,2025-05-07 16:14:00
1355,Target,2025-05-07,192,2025-05-07 01:50:00
8084,eBay,2025-05-07,406,2025-05-07 12:19:00
1738,Target,2025-05-08,1133,2025-05-08 20:24:00
3139,Walmart,2025-05-08,149,2025-05-08 19:59:00
9103,Target,2025-05-08,496,2025-05-08 07:16:00
6339,Amazon,2025-05-08,376,2025-05-08 13:23:00
2832,eBay,2025-05-09,168,2025-05-09 20:31:00
1195,Target,2025-05-09,1526,2025-05-09 02:05:00
4869,Amazon,2025-05-09,1901,2025-05-09 22:44:00
9298,eBay,2025-05-09,359,2025-05-09 20:14:00
6855,Costco,2025-05-10,1665,2025-05-10 04:44:00
1342,eBay,2025-05-10,174,2025-05-10 14:03:00
6373,BestBuy,2025-05-10,1306,2025-05-10 17:54:00
3387,eBay,2025-05-10,175,2025-05-10 11:40:00
5160,eBay,2025-05-11,1218,2025-05-11 12:08:00
3432,eBay,2025-05-11,1886,2025-05-11 05:34:00
9955,eBay,2025-05-11,698,2025-05-11 23:18:00
7177,Amazon,2025-05-12,470,2025-05-12 09:57:00
4629,Amazon,2025-05-12,1347,2025-05-12 15:05:00
4712,Target,2025-05-12,1296,2025-05-12 23:35:00
6574,Costco,2025-05-12,1685,2025-05-12 05:18:00
8242,BestBuy,2025-05-12,476,2025-05-12 05:57:00
6385,Walmart,2025-05-12,637,2025-05-12 22:50:00
3699,Amazon,2025-05-13,1173,2025-05-13 05:08:00
1040,eBay,2025-05-13,180,2025-05-13 23:36:00
7002,Costco,2025-05-13,944,2025-05-13 04:11:00
6775,eBay,2025-05-13,686,2025-05-13 20:43:00
6327,Amazon,2025-05-14,868,2025-05-14 04:46:00
2523,Walmart,2025-05-14,1334,2025-05-14 06:59:00
2641,BestBuy,2025-05-14,1535,2025-05-14 19:37:00
1119,Target,2025-05-14,1656,2025-05-14 03:17:00
5776,Amazon,2025-05-14,712,2025-05-14 01:57:00
7556,Walmart,2025-05-14,742,2025-05-14 23:19:00
7549,Costco,2025-05-15,893,2025-05-15 15:12:00
